raw_dataset,airport_code,airport_name,city,state,scheduled_flights,cancelled_flights,cancellation_rate_pct,avg_delay_minutes,flights_delayed_15min_pct,taxi_out_minutes,total_tsa_passengers,avg_hourly_tsa_passengers,peak_hour_passengers,connecting_passengers_pct,local_originating_passengers_pct,true_local_tsa_demand,aircraft_seats_per_flight,flight_fullness_pct,operational_archetype,plain_language_description
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",IAH,George Bush Intercontinental/Houston,Houston,TX,209172,2920,1.40%,15.72,22.12%,19.63,66010894,388.37,2654,50.23%,49.77%,14547366,165.9,84.23%,High Local Demand Airport (Most passengers start locally and pass through TSA security),United primary Latin America hub with 50% connecting and 50% local passenger demand.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",JFK,John F. Kennedy International,New York,NY,133151,1891,1.42%,14.25,19.46%,26.70,116009987,633.60,3222,34.24%,65.76%,12530901,167.5,85.44%,"Congested Coastal Airport (Restricted airspace, smaller regional planes, and chronic flight delays)",Premier international gateway with large airplanes and long runway taxi queues.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",LAS,Harry Reid International Airport,Las Vegas,NV,157059,1747,1.11%,12.29,17.55%,19.48,91959127,584.43,2901,66.47%,33.53%,7880847,179.2,83.51%,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),Major leisure destination where 66% of travelers are visiting or local originating.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",LAX,Los Angeles International,Los Angeles,CA,277433,2760,0.99%,11.99,17.93%,18.45,129069341,441.62,2887,39.59%,60.41%,26293897,182.3,86.06%,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),West Coast gateway; handles high passenger volume with 60% entering local TSA checkpoints.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",LGA,LaGuardia,New York,NY,164909,4056,2.46%,15.65,20.14%,24.03,53034753,662.36,3764,44.41%,55.59%,11975988,154.2,84.72%,"Congested Coastal Airport (Restricted airspace, smaller regional planes, and chronic flight delays)","High-frequency New York domestic airport with slot limits, smaller regional planes, and delays."
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",MCO,Orlando International,Orlando,FL,184346,3118,1.69%,16.17,20.96%,19.18,100027448,1011.96,3974,55.44%,44.56%,13092334,185.5,85.92%,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),High-volume vacation market with heavy family leisure passenger surges.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",MIA,Miami International,Miami,FL,217894,3450,1.58%,19.62,26.51%,21.05,87974423,336.36,2187,50.73%,49.27%,16164435,176.0,85.55%,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),American Airlines hub serving Latin America with large planes and steady passenger flow.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",MSP,Minneapolis-St Paul International/Wold-Chamberlain,Minneapolis,MN,171104,1743,1.02%,10.11,17.39%,17.65,48387666,470.39,2323,54.40%,45.60%,11046544,166.8,84.88%,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),Delta northern fortress hub known for strong operational punctuality and low delays.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",ORD,Chicago O'Hare International,Chicago,IL,360571,5295,1.47%,16.36,22.59%,21.97,63598273,239.62,2441,60.00%,40.00%,20549778,168.0,84.81%,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),Dual mega-hub for United and American with the highest scheduled flight count (360k flights).
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",PHL,Philadelphia International,Philadelphia,PA,138372,2101,1.52%,13.77,19.33%,20.35,40429531,339.12,2807,44.21%,55.79%,11172451,172.6,83.85%,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),American Airlines transatlantic fortress with high domestic schedule adherence.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",PHX,Phoenix Sky Harbor International,Phoenix,AZ,183386,1676,0.91%,10.67,16.98%,16.63,74107051,548.45,2628,56.70%,43.30%,12132785,179.8,84.98%,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),Major desert southwest hub with high flight volume and low delay rates.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",SEA,Seattle-Tacoma International,Seattle,WA,132809,1447,1.09%,10.96,16.82%,20.45,70832008,514.52,2565,53.05%,46.95%,9078985,169.9,85.70%,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),Major Pacific Northwest gateway with significant local originating passenger demand.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",SFO,San Francisco International,San Francisco,CA,202702,2144,1.06%,12.55,19.43%,20.18,86485089,453.14,2803,40.23%,59.77%,19031374,182.4,86.12%,Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),United West Coast transpacific hub with large widebody planes and steady operations.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",SLC,Salt Lake City International,Salt Lake City,UT,134725,1211,0.90%,10.80,17.76%,18.16,32250281,959.54,3103,57.55%,42.45%,8258684,168.6,85.65%,High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),Delta mountain hub known for very low cancellation rates and high punctuality.
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",TPA,Tampa International,Tampa,FL,120321,2361,1.96%,14.15,19.04%,15.96,44030123,451.96,1512,39.68%,60.32%,10617149,173.1,84.51%,High Local Demand Airport (Most passengers start locally and pass through TSA security),High-performing Florida origin airport with low delays and smooth passenger flow.
