SEATS,PASSENGERS,DISTANCE,CARRIER,ORIGIN,DEST,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,MONTH
0.0,0.0,0.0,5Y,BWI,BWI,626,1,6
0.0,0.0,0.0,5Y,BWI,BWI,626,2,3
0.0,0.0,0.0,5Y,BWI,BWI,626,2,8
0.0,0.0,0.0,5Y,BWI,BWI,626,2,10
0.0,0.0,0.0,5Y,BWI,BWI,626,2,11
0.0,0.0,0.0,5Y,BWI,BWI,626,2,12
0.0,0.0,0.0,5Y,BWI,BWI,819,1,6
0.0,0.0,0.0,5Y,CHS,CHS,819,2,1
0.0,0.0,0.0,5Y,CHS,CHS,819,2,5
0.0,0.0,0.0,5Y,CHS,CHS,819,2,6
0.0,0.0,0.0,5Y,CVG,CVG,614,2,5
0.0,0.0,0.0,5Y,CVG,CVG,614,2,6
0.0,0.0,0.0,5Y,CVG,CVG,614,2,7
0.0,0.0,0.0,5Y,CVG,CVG,614,2,8
0.0,0.0,0.0,5Y,CVG,CVG,614,2,9
0.0,0.0,0.0,5Y,CVG,CVG,614,2,12
0.0,0.0,0.0,5Y,CVG,CVG,625,2,1
0.0,0.0,0.0,5Y,CVG,CVG,625,2,2
0.0,0.0,0.0,5Y,CVG,CVG,626,2,3
0.0,0.0,0.0,5Y,CVG,CVG,626,2,4
0.0,0.0,0.0,5Y,CVG,CVG,626,2,6
0.0,0.0,0.0,5Y,CVG,CVG,626,2,7
0.0,0.0,0.0,5Y,CVG,CVG,626,2,8
0.0,0.0,0.0,5Y,CVG,CVG,626,2,9
0.0,0.0,0.0,5Y,CVG,CVG,626,2,10
0.0,0.0,0.0,5Y,CVG,CVG,819,2,2
0.0,0.0,0.0,5Y,CVG,CVG,819,2,4
0.0,0.0,0.0,5Y,CVG,CVG,819,2,7
0.0,0.0,0.0,5Y,CVG,CVG,819,2,8
0.0,0.0,0.0,5Y,CVG,CVG,821,2,1
0.0,0.0,0.0,5Y,DFW,DFW,627,2,1
0.0,0.0,0.0,5Y,DFW,DFW,819,2,1
0.0,0.0,0.0,5Y,DFW,DFW,819,2,5
0.0,0.0,0.0,5Y,DFW,DFW,819,2,6
0.0,0.0,0.0,5Y,DFW,DFW,819,2,8
0.0,0.0,0.0,5Y,DFW,DFW,819,2,11
0.0,0.0,0.0,5Y,DFW,DFW,821,2,3
0.0,0.0,0.0,5Y,DOV,DOV,819,2,5
0.0,0.0,0.0,5Y,FAI,FAI,819,2,2
0.0,0.0,0.0,5Y,HNL,HNL,626,2,7
0.0,0.0,0.0,5Y,HNL,HNL,626,2,10
0.0,0.0,0.0,5Y,HNL,HNL,819,2,5
0.0,0.0,0.0,5Y,HNL,HNL,819,2,8
0.0,0.0,0.0,5Y,HNL,HNL,819,2,9
0.0,0.0,0.0,5Y,HNL,HNL,819,2,10
0.0,0.0,0.0,5Y,HNL,HNL,819,2,11
0.0,0.0,0.0,5Y,HSV,HSV,819,2,6
0.0,0.0,0.0,5Y,IAB,IAB,819,2,7
0.0,0.0,0.0,5Y,IAH,IAH,625,2,1
0.0,0.0,0.0,5Y,IAH,IAH,626,2,4
0.0,0.0,0.0,5Y,IAH,IAH,626,2,5
0.0,0.0,0.0,5Y,IAH,IAH,626,2,6
0.0,0.0,0.0,5Y,IAH,IAH,626,2,7
0.0,0.0,0.0,5Y,IAH,IAH,626,2,11
0.0,0.0,0.0,5Y,IAH,IAH,626,2,12
0.0,0.0,0.0,5Y,IND,IND,627,2,3
0.0,0.0,0.0,5Y,JFK,JFK,627,2,6
0.0,0.0,0.0,5Y,JFK,JFK,819,2,1
0.0,0.0,0.0,5Y,JFK,JFK,819,2,2
0.0,0.0,0.0,5Y,JFK,JFK,819,2,3
0.0,0.0,0.0,5Y,JFK,JFK,819,2,6
0.0,0.0,0.0,5Y,JFK,JFK,819,2,7
0.0,0.0,0.0,5Y,JFK,JFK,819,2,8
0.0,0.0,0.0,5Y,JFK,JFK,819,2,10
0.0,0.0,0.0,5Y,JFK,JFK,819,2,11
0.0,0.0,0.0,5Y,JFK,JFK,819,2,12
0.0,0.0,0.0,5Y,LAL,LAL,625,2,1
0.0,0.0,0.0,5Y,LAL,LAL,626,2,3
0.0,0.0,0.0,5Y,LAL,LAL,626,2,4
0.0,0.0,0.0,5Y,LAL,LAL,626,2,5
0.0,0.0,0.0,5Y,LAL,LAL,626,2,11
0.0,0.0,0.0,5Y,LAS,LAS,614,2,5
0.0,0.0,0.0,5Y,LAS,LAS,614,2,6
0.0,0.0,0.0,5Y,LAS,LAS,614,2,7
0.0,0.0,0.0,5Y,LAS,LAS,614,2,9
0.0,0.0,0.0,5Y,LAS,LAS,614,2,10
0.0,0.0,0.0,5Y,LAS,LAS,819,2,11
0.0,0.0,0.0,5Y,LAX,LAX,627,2,9
0.0,0.0,0.0,5Y,LAX,LAX,819,2,1
0.0,0.0,0.0,5Y,LAX,LAX,819,2,2
0.0,0.0,0.0,5Y,LAX,LAX,819,2,4
0.0,0.0,0.0,5Y,LAX,LAX,819,2,5
0.0,0.0,0.0,5Y,LAX,LAX,819,2,6
0.0,0.0,0.0,5Y,LAX,LAX,819,2,7
0.0,0.0,0.0,5Y,LAX,LAX,819,2,9
0.0,0.0,0.0,5Y,LAX,LAX,819,2,10
0.0,0.0,0.0,5Y,LAX,LAX,819,2,11
0.0,0.0,0.0,5Y,MCI,MCI,614,2,7
0.0,0.0,0.0,5Y,MCI,MCI,614,2,8
0.0,0.0,0.0,5Y,MCI,MCI,614,2,9
0.0,0.0,0.0,5Y,MCI,MCI,614,2,11
0.0,0.0,0.0,5Y,MCI,MCI,614,2,12
0.0,0.0,0.0,5Y,MHT,MHT,626,2,4
0.0,0.0,0.0,5Y,MIA,MIA,614,2,5
0.0,0.0,0.0,5Y,MIA,MIA,614,2,6
0.0,0.0,0.0,5Y,MIA,MIA,614,2,8
0.0,0.0,0.0,5Y,MIA,MIA,614,2,9
0.0,0.0,0.0,5Y,MIA,MIA,625,2,1
0.0,0.0,0.0,5Y,MIA,MIA,625,2,2
0.0,0.0,0.0,5Y,MIA,MIA,626,2,3
0.0,0.0,0.0,5Y,MIA,MIA,626,2,4
0.0,0.0,0.0,5Y,MIA,MIA,626,2,5
0.0,0.0,0.0,5Y,MIA,MIA,626,2,6
0.0,0.0,0.0,5Y,MIA,MIA,626,2,7
0.0,0.0,0.0,5Y,MIA,MIA,626,2,9
0.0,0.0,0.0,5Y,MIA,MIA,626,2,10
0.0,0.0,0.0,5Y,MIA,MIA,626,2,12
0.0,0.0,0.0,5Y,MIA,MIA,627,2,3
0.0,0.0,0.0,5Y,MIA,MIA,627,2,5
0.0,0.0,0.0,5Y,MIA,MIA,627,2,8
0.0,0.0,0.0,5Y,MIA,MIA,627,2,12
0.0,0.0,0.0,5Y,MIA,MIA,819,2,1
0.0,0.0,0.0,5Y,MIA,MIA,819,2,2
0.0,0.0,0.0,5Y,MIA,MIA,819,2,3
0.0,0.0,0.0,5Y,MIA,MIA,819,2,4
0.0,0.0,0.0,5Y,MIA,MIA,819,2,5
0.0,0.0,0.0,5Y,MIA,MIA,819,2,6
0.0,0.0,0.0,5Y,MIA,MIA,819,2,7
0.0,0.0,0.0,5Y,MIA,MIA,819,2,8
0.0,0.0,0.0,5Y,MIA,MIA,819,2,9
0.0,0.0,0.0,5Y,MIA,MIA,819,2,10
0.0,0.0,0.0,5Y,MIA,MIA,819,2,11
0.0,0.0,0.0,5Y,MIA,MIA,819,2,12
0.0,0.0,0.0,5Y,MIA,MIA,821,2,1
0.0,0.0,0.0,5Y,MIA,MIA,821,2,2
0.0,0.0,0.0,5Y,MIA,MIA,821,2,4
0.0,0.0,0.0,5Y,MIA,MIA,821,2,5
0.0,0.0,0.0,5Y,MIA,MIA,821,2,6
0.0,0.0,0.0,5Y,MIA,MIA,821,2,7
0.0,0.0,0.0,5Y,MIA,MIA,821,2,8
0.0,0.0,0.0,5Y,MIA,MIA,821,2,9
0.0,0.0,0.0,5Y,MIA,MIA,821,2,10
0.0,0.0,0.0,5Y,MIA,MIA,821,2,11
0.0,0.0,0.0,5Y,MIA,MIA,821,2,12
0.0,0.0,0.0,5Y,MLB,MLB,626,1,6
0.0,0.0,0.0,5Y,MLB,MLB,626,2,3
0.0,0.0,0.0,5Y,MLB,MLB,626,2,7
0.0,0.0,0.0,5Y,MZJ,MZJ,821,2,9
0.0,0.0,0.0,5Y,ONT,ONT,625,2,1
0.0,0.0,0.0,5Y,ONT,ONT,626,2,3
0.0,0.0,0.0,5Y,ONT,ONT,626,2,5
0.0,0.0,0.0,5Y,ONT,ONT,626,2,6
0.0,0.0,0.0,5Y,ONT,ONT,626,2,7
0.0,0.0,0.0,5Y,ONT,ONT,627,2,6
0.0,0.0,0.0,5Y,ONT,ONT,627,2,11
0.0,0.0,0.0,5Y,ONT,ONT,819,2,6
0.0,0.0,0.0,5Y,OPF,OPF,626,1,6
0.0,0.0,0.0,5Y,OPF,OPF,626,2,4
0.0,0.0,0.0,5Y,ORD,ORD,625,2,1
0.0,0.0,0.0,5Y,ORD,ORD,627,2,2
0.0,0.0,0.0,5Y,ORD,ORD,627,2,9
0.0,0.0,0.0,5Y,ORD,ORD,627,2,12
0.0,0.0,0.0,5Y,ORD,ORD,819,2,1
0.0,0.0,0.0,5Y,ORD,ORD,819,2,3
0.0,0.0,0.0,5Y,ORD,ORD,819,2,4
0.0,0.0,0.0,5Y,ORD,ORD,819,2,6
0.0,0.0,0.0,5Y,ORD,ORD,819,2,7
0.0,0.0,0.0,5Y,ORD,ORD,819,2,8
0.0,0.0,0.0,5Y,ORD,ORD,819,2,9
0.0,0.0,0.0,5Y,ORD,ORD,819,2,10
0.0,0.0,0.0,5Y,ORD,ORD,819,2,11
0.0,0.0,0.0,5Y,ORD,ORD,819,2,12
0.0,0.0,0.0,5Y,ORD,ORD,821,2,3
0.0,0.0,0.0,5Y,ORD,ORD,821,2,4
0.0,0.0,0.0,5Y,ORD,ORD,821,2,6
0.0,0.0,0.0,5Y,ORD,ORD,821,2,8
0.0,0.0,0.0,5Y,ORD,ORD,821,2,12
0.0,0.0,0.0,5Y,PDX,PDX,614,2,9
0.0,0.0,0.0,5Y,PDX,PDX,626,2,6
0.0,0.0,0.0,5Y,PDX,PDX,626,2,8
0.0,0.0,0.0,5Y,PDX,PDX,626,2,9
0.0,0.0,0.0,5Y,PDX,PDX,819,2,3
0.0,0.0,0.0,5Y,PDX,PDX,819,2,4
0.0,0.0,0.0,5Y,RFD,RFD,625,2,1
0.0,0.0,0.0,5Y,RFD,RFD,626,2,7
0.0,0.0,0.0,5Y,RIV,RIV,614,2,8
0.0,0.0,0.0,5Y,RIV,RIV,614,2,10
0.0,0.0,0.0,5Y,RIV,RIV,614,2,12
0.0,0.0,0.0,5Y,RIV,RIV,626,2,5
0.0,0.0,0.0,5Y,RIV,RIV,626,2,9
0.0,0.0,0.0,5Y,SAT,SAT,819,2,8
0.0,0.0,0.0,5Y,SCK,SCK,626,2,3
0.0,0.0,0.0,5Y,SCK,SCK,626,2,6
0.0,0.0,0.0,5Y,SJU,SJU,625,2,1
0.0,0.0,0.0,5Y,SJU,SJU,626,2,3
0.0,0.0,0.0,5Y,SJU,SJU,626,2,5
0.0,0.0,0.0,5Y,SJU,SJU,626,2,7
0.0,0.0,0.0,5Y,SJU,SJU,626,2,8
0.0,0.0,0.0,5Y,SJU,SJU,626,2,9
0.0,0.0,0.0,5Y,SJU,SJU,819,2,2
0.0,0.0,0.0,7S,ANC,ANC,412,2,1
0.0,0.0,0.0,7S,ANC,ANC,412,2,4
0.0,0.0,0.0,7S,ANC,ANC,412,2,5
0.0,0.0,0.0,7S,ANC,ANC,412,2,6
0.0,0.0,0.0,7S,ANC,ANC,412,2,7
0.0,0.0,0.0,7S,ANC,ANC,459,2,1
0.0,0.0,0.0,7S,ANC,ANC,459,2,2
0.0,0.0,0.0,7S,ANC,ANC,459,2,3
0.0,0.0,0.0,7S,ANC,ANC,459,2,4
0.0,0.0,0.0,7S,ANC,ANC,459,2,5
0.0,0.0,0.0,7S,ANC,ANC,459,2,6
0.0,0.0,0.0,7S,ANC,ANC,459,2,7
0.0,0.0,0.0,7S,ANC,ANC,459,2,8
0.0,0.0,0.0,7S,ANC,ANC,459,2,9
0.0,0.0,0.0,7S,ANC,ANC,459,2,10
0.0,0.0,0.0,7S,ANC,ANC,459,2,11
0.0,0.0,0.0,7S,ANC,ANC,459,2,12
0.0,0.0,0.0,7S,BET,BET,412,2,4
0.0,0.0,0.0,7S,BET,BET,412,2,5
0.0,0.0,0.0,7S,BET,BET,412,2,6
0.0,0.0,0.0,7S,BET,BET,412,2,12
0.0,0.0,0.0,7S,KTS,KTS,412,2,5
0.0,0.0,0.0,7S,OME,OME,412,2,1
0.0,0.0,0.0,7S,OME,OME,412,2,2
0.0,0.0,0.0,7S,OME,OME,412,2,5
0.0,0.0,0.0,7S,OME,OME,412,2,6
0.0,0.0,0.0,7S,OME,OME,412,2,11
0.0,0.0,0.0,7S,OME,OME,459,2,2
0.0,0.0,0.0,7S,OTZ,OTZ,412,2,1
0.0,0.0,0.0,7S,OTZ,OTZ,412,2,2
0.0,0.0,0.0,7S,OTZ,OTZ,412,2,9
0.0,0.0,0.0,7S,OTZ,OTZ,412,2,10
0.0,0.0,0.0,7S,OTZ,OTZ,412,2,12
0.0,0.0,0.0,7S,UNK,UNK,412,2,8
0.0,0.0,0.0,8V,FAI,FAI,35,1,8
0.0,0.0,0.0,8V,FAI,FAI,416,2,7
0.0,0.0,0.0,ABX,AFW,AFW,625,2,11
0.0,0.0,0.0,ABX,AFW,AFW,626,2,11
0.0,0.0,0.0,ABX,AFW,AFW,626,2,12
0.0,0.0,0.0,ABX,ATL,ATL,626,2,12
0.0,0.0,0.0,ABX,CVG,CVG,625,2,11
0.0,0.0,0.0,ABX,CVG,CVG,625,2,11
0.0,0.0,0.0,ABX,CVG,CVG,625,2,12
0.0,0.0,0.0,ABX,CVG,CVG,626,2,11
0.0,0.0,0.0,ABX,CVG,CVG,626,2,12
0.0,0.0,0.0,ABX,GSO,GSO,625,2,12
0.0,0.0,0.0,ABX,HRL,HRL,625,2,11
0.0,0.0,0.0,ABX,IAH,IAH,626,2,11
0.0,0.0,0.0,ABX,IAH,IAH,626,2,12
0.0,0.0,0.0,ABX,LAX,LAX,625,2,12
0.0,0.0,0.0,ABX,LAX,LAX,626,2,12
0.0,0.0,0.0,ABX,MIA,MIA,626,2,11
0.0,0.0,0.0,ABX,MIA,MIA,626,2,12
0.0,0.0,0.0,ABX,PDX,PDX,625,2,11
0.0,0.0,0.0,ABX,PHX,PHX,625,2,11
0.0,0.0,0.0,ABX,RFD,RFD,626,2,11
0.0,0.0,0.0,ABX,SFO,SFO,626,2,12
0.0,0.0,0.0,ABX,SJU,SJU,626,2,12
0.0,0.0,0.0,AMQ,JZT,JZT,635,2,1
0.0,0.0,0.0,AMQ,LRD,LRD,635,2,2
0.0,0.0,0.0,AMQ,YIP,YIP,635,2,2
0.0,0.0,0.0,AMQ,YIP,YIP,635,2,4
0.0,0.0,0.0,EM,AFW,AFW,441,2,5
0.0,0.0,0.0,EM,AFW,AFW,441,2,11
0.0,0.0,0.0,EM,ANC,ANC,416,2,1
0.0,0.0,0.0,EM,ANC,ANC,416,2,5
0.0,0.0,0.0,EM,ANC,ANC,416,2,9
0.0,0.0,0.0,EM,ANC,ANC,416,2,11
0.0,0.0,0.0,EM,ANC,ANC,416,2,12
0.0,0.0,0.0,EM,ANC,ANC,442,2,2
0.0,0.0,0.0,EM,BZN,BZN,442,2,2
0.0,0.0,0.0,EM,CLM,CLM,416,2,3
0.0,0.0,0.0,EM,CLM,CLM,416,2,5
0.0,0.0,0.0,EM,FCA,FCA,441,2,2
0.0,0.0,0.0,EM,FCA,FCA,441,2,7
0.0,0.0,0.0,EM,FLG,FLG,416,2,8
0.0,0.0,0.0,EM,GEG,GEG,416,2,1
0.0,0.0,0.0,EM,GEG,GEG,416,2,6
0.0,0.0,0.0,EM,GEG,GEG,421,2,1
0.0,0.0,0.0,EM,GTF,GTF,441,2,1
0.0,0.0,0.0,EM,GTF,GTF,441,2,2
0.0,0.0,0.0,EM,GTF,GTF,441,2,8
0.0,0.0,0.0,EM,GTF,GTF,441,2,10
0.0,0.0,0.0,EM,GTF,GTF,441,2,11
0.0,0.0,0.0,EM,MFR,MFR,416,2,12
0.0,0.0,0.0,EM,NYL,NYL,416,2,9
0.0,0.0,0.0,EM,PDX,PDX,416,2,1
0.0,0.0,0.0,EM,PDX,PDX,416,2,4
0.0,0.0,0.0,EM,PDX,PDX,416,2,9
0.0,0.0,0.0,EM,PDX,PDX,421,2,12
0.0,0.0,0.0,EM,PDX,PDX,442,2,11
0.0,0.0,0.0,EM,PHX,PHX,416,2,6
0.0,0.0,0.0,EM,PHX,PHX,416,2,7
0.0,0.0,0.0,EM,PHX,PHX,416,2,11
0.0,0.0,0.0,EM,PSC,PSC,416,2,6
0.0,0.0,0.0,EM,SEA,SEA,416,2,3
0.0,0.0,0.0,EM,SEA,SEA,416,2,8
0.0,0.0,0.0,EM,SEA,SEA,416,2,10
0.0,0.0,0.0,EM,SMX,SMX,421,2,1
0.0,0.0,0.0,GCA,MCI,MCI,699,2,4
0.0,0.0,0.0,GCA,ORD,ORD,699,2,11
0.0,0.0,0.0,GCA,SFB,SFB,699,2,2
0.0,0.0,0.0,GCA,SJC,SJC,699,2,5
0.0,0.0,0.0,GFQ,TVF,TVF,629,2,3
0.0,0.0,0.0,JRQ,ENA,ENA,35,3,8
0.0,0.0,0.0,JRQ,ENA,ENA,102,1,9
0.0,0.0,0.0,KD,ANC,ANC,740,2,2
0.0,0.0,0.0,KD,ANC,ANC,740,2,10
0.0,0.0,0.0,KD,ANC,ANC,740,2,12
0.0,0.0,0.0,KD,EWR,EWR,820,2,12
0.0,0.0,0.0,KD,GPT,GPT,820,2,4
0.0,0.0,0.0,KD,LAX,LAX,740,2,7
0.0,0.0,0.0,KD,LCK,LCK,820,2,5
0.0,0.0,0.0,KD,LCK,LCK,820,2,6
0.0,0.0,0.0,KD,LCK,LCK,820,2,7
0.0,0.0,0.0,KD,LCK,LCK,820,2,8
0.0,0.0,0.0,KD,MCC,MCC,740,2,1
0.0,0.0,0.0,KD,MIA,MIA,820,2,9
0.0,0.0,0.0,KD,NIP,NIP,820,2,4
0.0,0.0,0.0,KD,NTD,NTD,820,2,1
0.0,0.0,0.0,KD,NTD,NTD,820,2,6
0.0,0.0,0.0,KD,ONT,ONT,740,2,12
0.0,0.0,0.0,KD,ONT,ONT,820,2,12
0.0,0.0,0.0,KD,ORD,ORD,740,2,5
0.0,0.0,0.0,KD,ORD,ORD,740,2,6
0.0,0.0,0.0,KD,ORD,ORD,740,2,9
0.0,0.0,0.0,KD,ORD,ORD,740,2,12
0.0,0.0,0.0,KD,PHL,PHL,820,2,12
0.0,0.0,0.0,KD,RSW,RSW,740,2,2
0.0,0.0,0.0,KD,RSW,RSW,820,2,1
0.0,0.0,0.0,KD,RSW,RSW,820,2,2
0.0,0.0,0.0,KD,RSW,RSW,820,2,5
0.0,0.0,0.0,KD,SDF,SDF,740,2,12
0.0,0.0,0.0,KD,SDF,SDF,820,2,12
0.0,0.0,0.0,KD,SHV,SHV,740,2,12
0.0,0.0,0.0,KD,SHV,SHV,820,2,10
0.0,0.0,0.0,KLQ,BNA,BNA,617,2,5
0.0,0.0,0.0,KLQ,CID,CID,619,2,12
0.0,0.0,0.0,KLQ,CVG,CVG,617,2,1
0.0,0.0,0.0,KLQ,CVG,CVG,617,2,8
0.0,0.0,0.0,KLQ,CVG,CVG,617,2,9
0.0,0.0,0.0,KLQ,CVG,CVG,617,2,10
0.0,0.0,0.0,KLQ,OSC,OSC,617,2,8
0.0,0.0,0.0,KLQ,OSC,OSC,619,2,6
0.0,0.0,0.0,KLQ,STL,STL,617,2,9
0.0,0.0,0.0,KLQ,TUL,TUL,619,2,11
0.0,0.0,0.0,KLQ,YIP,YIP,617,2,12
0.0,0.0,0.0,KO,ADQ,ADQ,405,2,2
0.0,0.0,0.0,KO,AKN,AKN,405,2,2
0.0,0.0,0.0,KO,ANC,ANC,405,2,1
0.0,0.0,0.0,KO,ANC,ANC,405,2,2
0.0,0.0,0.0,KO,ANC,ANC,405,2,3
0.0,0.0,0.0,KO,ANC,ANC,405,2,4
0.0,0.0,0.0,KO,ANC,ANC,405,2,5
0.0,0.0,0.0,KO,ANC,ANC,405,2,6
0.0,0.0,0.0,KO,ANC,ANC,405,2,7
0.0,0.0,0.0,KO,ANC,ANC,405,2,8
0.0,0.0,0.0,KO,ANC,ANC,405,2,9
0.0,0.0,0.0,KO,ANC,ANC,405,2,10
0.0,0.0,0.0,KO,ANC,ANC,405,2,11
0.0,0.0,0.0,KO,ANC,ANC,405,2,12
0.0,0.0,0.0,KO,BET,BET,405,2,5
0.0,0.0,0.0,KO,BET,BET,405,2,6
0.0,0.0,0.0,KO,BET,BET,405,2,7
0.0,0.0,0.0,KO,BET,BET,405,2,8
0.0,0.0,0.0,KO,BET,BET,405,2,9
0.0,0.0,0.0,KO,CDB,CDB,405,2,3
0.0,0.0,0.0,KO,CDB,CDB,405,2,5
0.0,0.0,0.0,KO,CDB,CDB,405,2,7
0.0,0.0,0.0,KO,DUT,DUT,405,2,7
0.0,0.0,0.0,KO,KTN,KTN,405,2,1
0.0,0.0,0.0,KO,KTN,KTN,405,2,2
0.0,0.0,0.0,KO,KTN,KTN,405,2,3
0.0,0.0,0.0,KO,KTN,KTN,405,2,10
0.0,0.0,0.0,KO,KTN,KTN,405,2,12
0.0,0.0,0.0,KO,SDP,SDP,405,2,2
0.0,0.0,0.0,KO,SDP,SDP,405,2,3
0.0,0.0,0.0,KO,SIT,SIT,405,2,10
0.0,0.0,0.0,L2,A20,A20,556,2,6
0.0,0.0,0.0,L2,A20,A20,556,2,8
0.0,0.0,0.0,L2,A20,A20,556,2,10
0.0,0.0,0.0,L2,ANC,ANC,556,2,1
0.0,0.0,0.0,L2,ANC,ANC,556,2,2
0.0,0.0,0.0,L2,ANC,ANC,556,2,2
0.0,0.0,0.0,L2,ANC,ANC,556,2,5
0.0,0.0,0.0,L2,ANC,ANC,556,2,7
0.0,0.0,0.0,L2,ANC,ANC,556,2,7
0.0,0.0,0.0,L2,ANC,ANC,556,2,8
0.0,0.0,0.0,L2,ANC,ANC,556,2,9
0.0,0.0,0.0,L2,ANC,ANC,556,2,10
0.0,0.0,0.0,L2,BET,BET,556,2,1
0.0,0.0,0.0,L2,EDF,EDF,556,2,3
0.0,0.0,0.0,L2,FAI,FAI,556,2,9
0.0,0.0,0.0,L2,FLL,FLL,556,2,4
0.0,0.0,0.0,L2,HOU,HOU,556,2,4
0.0,0.0,0.0,L2,HOU,HOU,556,2,5
0.0,0.0,0.0,L2,LRD,LRD,556,2,2
0.0,0.0,0.0,L2,LRD,LRD,556,2,4
0.0,0.0,0.0,L2,LRD,LRD,556,2,5
0.0,0.0,0.0,L2,LRD,LRD,556,2,6
0.0,0.0,0.0,L2,MQY,MQY,556,2,2
0.0,0.0,0.0,L2,OME,OME,556,2,2
0.0,0.0,0.0,L2,PBI,PBI,556,2,1
0.0,0.0,0.0,L2,PHX,PHX,556,2,3
0.0,0.0,0.0,L2,SCC,SCC,556,2,5
0.0,0.0,0.0,L2,SCC,SCC,556,2,6
0.0,0.0,0.0,M6,BGR,BGR,626,2,8
0.0,0.0,0.0,M6,MCO,MCO,626,2,3
0.0,0.0,0.0,M6,MIA,MIA,626,2,8
0.0,0.0,0.0,NK,ABQ,ABQ,722,1,4
0.0,0.0,0.0,NK,ACY,ACY,694,1,2
0.0,0.0,0.0,NK,ACY,ACY,694,1,3
0.0,0.0,0.0,NK,ACY,ACY,694,1,4
0.0,0.0,0.0,NK,ACY,ACY,694,1,9
0.0,0.0,0.0,NK,ACY,ACY,698,1,1
0.0,0.0,0.0,NK,ACY,ACY,698,1,4
0.0,0.0,0.0,NK,ATL,ATL,694,1,1
0.0,0.0,0.0,NK,ATL,ATL,694,1,2
0.0,0.0,0.0,NK,ATL,ATL,694,1,3
0.0,0.0,0.0,NK,ATL,ATL,694,1,9
0.0,0.0,0.0,NK,ATL,ATL,699,1,1
0.0,0.0,0.0,NK,ATL,ATL,699,1,2
0.0,0.0,0.0,NK,ATL,ATL,699,1,3
0.0,0.0,0.0,NK,ATL,ATL,699,1,9
0.0,0.0,0.0,NK,ATL,ATL,722,1,1
0.0,0.0,0.0,NK,ATL,ATL,722,1,2
0.0,0.0,0.0,NK,ATL,ATL,722,1,3
